"Drug","Pearson.est","Pearson.p","Pearson.q","Spearman.est","Spearman.p","Spearman.q","Slope","Intercept","R.squared","Rank.slope","Rank.intercept","Rank.R.squared","N"
"X1.azakenpaullone",-0.0350451503546463,0.541386007593191,0.809841879127004,0.00652031197484601,0.909560215591378,0.970839487063292,-0.000543611066343884,1.03940672523605,0.00122816256337977,0.00652031197484607,152.499132111861,4.25144682493205e-05,306
"X1.naphthyl.PP1",-0.0552978675957749,0.342267567324538,0.673852130016498,-0.0625491263075156,0.282617056108204,0.617617229351839,-0.000702951535310502,0.900452152401569,0.00305785416063985,-0.0625491263075156,158.31981981982,0.00391239320183353,297
"X1.phenylbiguanide",-0.0402226544468309,0.513635994477684,0.793206702916545,-0.0517172728301568,0.400867343810417,0.707010857292916,-0.000481760080845443,1.00810662749431,0.00161786193074917,-0.0517172728301567,140.404255922826,0.00267467630898886,266
"X10.deacetylbaccatin",0.0681824635502405,0.223860026852321,0.557779866234811,0.0272408666100255,0.627334053028628,0.852407765981536,0.000738534400751744,0.874871750455365,0.00464884833577988,0.0272408666100254,156.127840909091,0.000742064813665199,320
"X10.hydroxycamptothecin",0.131494244353389,0.0203587637566358,0.180250704138087,0.133812323968947,0.0182291297795289,0.148360170255542,0.0010183749801013,0.284576425810948,0.0172907362980688,0.133812323968947,135.125277460844,0.0179057380459703,311
"X12.O.tetradecanoylphorbol.13.acetate",-0.114125247539007,0.0573690793921155,0.309965657485964,-0.0469040395958533,0.436008135744162,0.738409100067305,-0.00294628858187635,1.03767138116477,0.0130245721258395,-0.0469040395958533,146.043113523622,0.00219998893040937,278
"X2.methoxyestradiol",0.110575712290135,0.0574071534463122,0.309965657485964,0.125926478311439,0.030312461661465,0.199511111299097,0.000545477783130409,0.922732900305605,0.0122269881484708,0.124769222226849,129.971770499313,0.0158574779399213,296
"X2.3.DCPE",0.215746902846495,0.000146339200095283,0.016592768917751,0.280269079158842,6.53668484886073e-07,0.000946511966115033,0.00233129068505934,0.982419670055219,0.0465467260878551,0.280269079158842,110.118830888697,0.0785507567325453,305
"X2..MeCCPA",-0.0739789204200131,0.217181279069442,0.556599101048764,-0.0134979855792621,0.822084808772202,0.945419707732755,-0.00160460580022219,1.37874928859433,0.00547288066651064,-0.0134979855792621,142.396466973886,0.000182195614697967,280
"X3.amino.benzamide",-0.110042328922526,0.0654720931076442,0.323561743412521,-0.0529319808931806,0.37671436529004,0.689611126346369,-0.000354770691417562,0.969537297317323,0.0121093141546935,-0.0490797628962998,147.920246568379,0.00280179460127604,281
"X3.deazaneplanocin.A",0.00325361698230872,0.953914331162362,0.987363020833406,-0.0225279544675558,0.689009378759934,0.88792815659072,2.50707940382392e-05,0.819611181784451,1.05860234675679e-05,-0.0225279544675557,163.093208737575,0.000507508732492265,318
"X3..fluorobenzylspiperone",0.0951724071995643,0.125113205837789,0.44621655678108,0.110755941682345,0.0740623689637223,0.329999537107132,0.00109520043437961,1.07309301197586,0.00905778709215969,0.110755866928544,116.490981432361,0.012266878617943,261
"X4..4.fluorobenzoyl..1..4.phenylbutyl..piperidine",-0.0131959785505859,0.817581375519135,0.939855679484246,-0.0032745787465752,0.954357912398114,0.991771599399604,-0.000185840961443182,1.13725599841788,0.000174133849907522,-0.00327457874657528,155.005922416346,1.07228659675221e-05,308
"X4.chlorophenylguanidine",0.081547392813065,0.172831661437238,0.500520491522242,0.0684480091726249,0.252779232758828,0.588641762306995,0.000876688488874474,1.17086264306767,0.00664997727460834,0.0684480091726249,131.34883070666,0.00468512995969572,281
"X4.hydroxy.phenazone",0.0692285480435784,0.248246572690762,0.58259487399712,0.0915110068823764,0.126604701127682,0.427327755787606,0.000857648584055955,1.16649990897347,0.00479259186422204,0.0915110068823765,127.642703533026,0.00837426438062635,280
"X4.iodo.6.phenylpyrimidine",-0.0418439177997988,0.479357430776044,0.767790301390879,-0.000956480153036825,0.987105615759101,0.997900193461066,-0.000417727352603623,1.20995962897688,0.00175091345683631,-0.000956480153036965,144.638211382114,9.14854283153399e-07,288
"X4.methylgenistein",0.0271139172028945,0.645069299198304,0.859858016634104,0.0324501215004699,0.581414133126149,0.827001635330711,0.00039969443661494,1.31523542392609,0.000735164506085421,0.0324501215004698,141.262282260931,0.00105301038539526,291
"X4.methylhistamine",-0.0466551276503922,0.440116818580085,0.752593495277727,-0.0398036557697521,0.510198982057019,0.789282185917268,-0.000903938387459557,1.41006487864764,0.00217670093607439,-0.0398036557697522,144.012806324111,0.00158433101263693,276
"X4.pyrimidinecarbonitrile",0.0812564275511546,0.155529283758215,0.487130439561879,0.0645974706139489,0.25915064353293,0.59436941010649,0.00119547511931863,1.17096052338677,0.00660260701837605,0.064597470613949,144.051989525452,0.00417283320971999,307
"X4E1RCat",0.0507245227296624,0.416270359443631,0.737639745204898,0.0785938762682949,0.207423583834229,0.539174306020241,0.000802019783793791,1.19115665247745,0.00257297720615205,0.0785938762682949,119.782796085122,0.00617699738687605,259
"X5.fluorouracil",0.0549665642042569,0.347640668775166,0.677814405612977,0.0381560757582376,0.51460073294409,0.791021084185821,0.000624325121148062,0.946358877349508,0.00302132318042069,0.0381560757582378,141.87197882566,0.00145588611726837,294
"X5.hydroxymethyl.tolterodine",0.0735033002006878,0.23485197947181,0.56968912235349,0.0462665871556244,0.454976528696748,0.751657551800205,0.000803379943877111,0.858020406919847,0.00540273514039243,0.0462665871556245,125.892810495458,0.00214059708702899,263
