"CCLE_19Q4_gene_symbol","HGNC_ID","HGNC_approved_symbol","HGNC_alias_symbols","HGNC_previous_symbols"
"RPE65","HGNC:10294","RPE65","LCA2|rd12|BCO3","RP20"
"TROVE2","HGNC:11313","RO60","","SSA2|TROVE2"
"AMPD1","HGNC:468","AMPD1","MAD|MADA",""
"UCHL5","HGNC:19678","UCHL5","UCH37|CGI-70|INO80R",""
"BCAS2","HGNC:975","BCAS2","DAM1|SPF27|Snt309",""
"SRSF11","HGNC:10782","SRSF11","p54|NET2","SFRS11"
"CTH","HGNC:2501","CTH","CSE",""
"AGMAT","HGNC:18407","AGMAT","FLJ23384",""
"OLFML3","HGNC:24956","OLFML3","HNOEL-iso|OLF44",""
"TNNI3K","HGNC:19661","TNNI3K","CARK",""
"CFHR3","HGNC:16980","CFHR3","FHR-3|HLF4|FHR3|DOWN16","CFHL3"
"PLEKHM2","HGNC:29131","PLEKHM2","KIAA0842",""
"CRYZ","HGNC:2419","CRYZ","",""
"PHTF1","HGNC:8939","PHTF1","","PHTF"
"ZBTB17","HGNC:12936","ZBTB17","MIZ1|pHZ-67","ZNF151|ZNF60"
"CD58","HGNC:1688","CD58","","LFA3"
"TFAP2E","HGNC:30774","TFAP2E","AP2E|AP-2epsilon",""
"CD2","HGNC:1639","CD2","","SRBC"
"TTF2","HGNC:12398","TTF2","HuF2|ZGRF6",""
"NR5A2","HGNC:7984","NR5A2","FTZ-F1beta|hB1F|LRH-1|FTZ-F1|hB1F-2|B1F2|LRH1","FTF"
"KIF21B","HGNC:29442","KIF21B","DKFZP434J212|KIAA0449",""
"TMEM9","HGNC:18823","TMEM9","TMEM9A",""
"ADPRHL2","HGNC:21304","ADPRS","ARH3|FLJ20446","ADPRHL2"
"MAP7D1","HGNC:25514","MAP7D1","FLJ10350|FLJ39022","PARCC1|RPRC1"
"WARS2","HGNC:12730","WARS2","mtTrpRS",""
"HAO2","HGNC:4810","HAO2","HAOX2|GIG16",""
"OSCP1","HGNC:29971","OSCP1","NOR1","C1orf102"
"MRPS15","HGNC:14504","MRPS15","FLJ11564",""
"EXOC8","HGNC:24659","EXOC8","SEC84|EXO84|Exo84p",""
"GNPAT","HGNC:4416","GNPAT","DHAPAT|DAPAT|DAP-AT",""
"TSNAX","HGNC:12380","TSNAX","TRAX|C3PO",""
"C1orf109","HGNC:26039","AIRIM","FLJ20508","C1orf109"
"RRAGC","HGNC:19902","RRAGC","GTR2|FLJ13311",""
"NID1","HGNC:7821","NID1","entactin","NID"
"LGALS8","HGNC:6569","LGALS8","PCTA-1",""
"NT5C1A","HGNC:17819","NT5C1A","CN-I|CN-IA|CN1A|CN1|MGC119199|MGC119201",""
"HPCAL4","HGNC:18212","HPCAL4","HLP4|DKFZp761G122",""
"MTR","HGNC:7468","MTR","cblG",""
"BMP8B","HGNC:1075","BMP8B","OP-2","BMP8"
"MYCL","HGNC:7555","MYCL","LMYC|bHLHe38","MYCL1"
"SIPA1L2","HGNC:23800","SIPA1L2","KIAA1389|SPAR2",""
"ZP4","HGNC:15770","ZP4","ZPB|ZPB2|ZP1B",""
"RLF","HGNC:10025","RLF","ZNF292L|Zn-15L",""
"KMO","HGNC:6381","KMO","",""
"ZNF684","HGNC:28418","ZNF684","MGC27466",""
"KCNQ4","HGNC:6298","KCNQ4","Kv7.4","DFNA2"
"RIMS3","HGNC:21292","RIMS3","RIM3|NIM3",""
"AKT3","HGNC:393","AKT3","PKBG|RAC-gamma|PRKBG",""
"ETV3","HGNC:3492","ETV3","PE-1",""
"ACADM","HGNC:89","ACADM","MCAD|MCADH|ACAD1",""
"ST6GALNAC5","HGNC:19342","ST6GALNAC5","MGC3184|ST6GalNAcV","SIAT7E"
"SLAMF1","HGNC:10903","SLAMF1","CD150","SLAM"
"CD48","HGNC:1683","CD48","BLAST|mCD48|hCD48|SLAMF2","BCM1"
"ADGRL2","HGNC:18582","ADGRL2","KIAA0786|LEC1|CIRL2","LPHH1|LPHN2"
"PADI2","HGNC:18341","PADI2","KIAA0994|PDI2",""
"SDHB","HGNC:10681","SDHB","","SDH1|SDH"
"MFAP2","HGNC:7033","MFAP2","MAGP|MAGP-1",""
"RPF1","HGNC:30350","RPF1","","BXDC5"
"KDM5B","HGNC:18039","KDM5B","RBBP2H1A|PLU-1|CT31|PPP1R98","JARID1B"
"UAP1","HGNC:12457","UAP1","AGX1|AgX","SPAG2"
"ACTL8","HGNC:24018","ACTL8","CT57",""
"CTBS","HGNC:2496","CTBS","","CTB"
"RGS4","HGNC:10000","RGS4","","SCZD9"
"KLHL12","HGNC:19360","KLHL12","C3IP1",""
"IGSF21","HGNC:28246","IGSF21","MGC15730|RP11-121A23.1",""
"SSX2IP","HGNC:16509","SSX2IP","hMsd1",""
"ZNHIT6","HGNC:26089","ZNHIT6","FLJ20729|NY-BR-75|BCD1","C1orf181"
"PLA2G2D","HGNC:9033","PLA2G2D","sPLA2S",""
"RBBP5","HGNC:9888","RBBP5","RBQ3|SWD1",""
"GBP3","HGNC:4184","GBP3","FLJ10961",""
"GBP1","HGNC:4182","GBP1","",""
"KIF17","HGNC:19167","KIF17","KIAA1405|KIF3X|KIF17B|OSM-3|KLP-2",""
"GPR89A","HGNC:31984","GPR89A","UNQ192",""
"CDK18","HGNC:8751","CDK18","PCTAIRE3","PCTK3"
"RAB29","HGNC:9789","RAB29","","RAB7L|RAB7L1"
"CD160","HGNC:17013","CD160","BY55|NK1|NK28",""
"ECE1","HGNC:3146","ECE1","","ECE"
"HMGCL","HGNC:5005","HMGCL","HL",""
"GALE","HGNC:4116","GALE","SDR1E1",""
"ID3","HGNC:5362","ID3","HEIR-1|bHLHb25",""
"CR2","HGNC:2336","CR2","CD21|C3DR",""
"CD46","HGNC:6953","CD46","TRA2.10|MGC26544|TLX","MIC10|MCP"
"PRPF3","HGNC:17348","PRPF3","Prp3|hPrp3|SNRNP90","RP18"
"APH1A","HGNC:29509","APH1A","APH-1A|CGI-78",""
"P3H1","HGNC:19316","P3H1","GROS1|LEPRECAN|MGC117314","LEPRE1"
"SLC2A1","HGNC:11005","SLC2A1","DYT18|DYT9|GLUT-1","GLUT1|GLUT|HTLVR|CSE"
"EBNA1BP2","HGNC:15531","EBNA1BP2","NOBP|EBP2|P40",""
"CDC20","HGNC:1723","CDC20","p55CDC|CDC20A",""
"MPL","HGNC:7217","MPL","CD110|TPOR|THPOR",""
"ARTN","HGNC:727","ARTN","NBN|EVN|ENOVIN",""
"IPO13","HGNC:16853","IPO13","IMP13|KIAA0724|RANBP13",""
"ATP6V0B","HGNC:861","ATP6V0B","VMA16|HATPL","ATP6F"
"B4GALT2","HGNC:925","B4GALT2","beta4Gal-T2",""
"ERI3","HGNC:17276","ERI3","FLJ22943|PINT1","PRNPIP"
"PTCH2","HGNC:9586","PTCH2","",""
"AKR1A1","HGNC:380","AKR1A1","ALR|DD3",""
"PRDX1","HGNC:9352","PRDX1","NKEFA","PAGA"
"PIK3R3","HGNC:8981","PIK3R3","p55",""
"TSPAN1","HGNC:20657","TSPAN1","TSPAN-1|NET-1",""
"BLZF1","HGNC:1065","BLZF1","JEM-1",""
"CCDC181","HGNC:28051","CCDC181","FLJ25846","C1orf114"
"SLC19A2","HGNC:10938","SLC19A2","THTR1|ThT1","TRMA"
"FAAH","HGNC:3553","FAAH","FAAH-1",""
"NSUN4","HGNC:31802","NSUN4","MGC22960|SHTAP",""
"TMED5","HGNC:24251","TMED5","CGI-100|p24g2|p24gamma2",""
"MROH9","HGNC:26287","MROH9","FLJ23550|ARMC11","C1orf129"
"DR1","HGNC:3017","DR1","NC2-BETA|NC2B|NCB2",""
"CNN3","HGNC:2157","CNN3","",""
"PRRC2C","HGNC:24903","PRRC2C","KIAA1096|XTP2","BAT2D1|BAT2L2"
"F3","HGNC:3541","F3","CD142|TF",""
"ABCD3","HGNC:67","ABCD3","PMP70|ZWS2","PXMP1"
"VAMP4","HGNC:12645","VAMP4","",""
"DPH5","HGNC:24270","DPH5","CGI-30",""
"FASLG","HGNC:11936","FASLG","FasL|CD178","APT1LG1|TNFSF6"
"PTBP2","HGNC:17662","PTBP2","brPTB|nPTB|PTB|PTBLP",""
"TNFSF4","HGNC:11934","TNFSF4","OX-40L|gp34|CD252","TXGP1"
"PRDX6","HGNC:16753","PRDX6","AOP2|KIAA0106|1-Cys|NSGPx|PRX|aiPLA2|MGC46173|p29",""
"DARS2","HGNC:25538","DARS2","FLJ10514|mtAspRS",""
"HSD11B1","HGNC:5208","HSD11B1","SDR26C1","HSD11B|HSD11"
"IRF6","HGNC:6121","IRF6","OFC6|VWS1","VWS|LPS"
"UTP25","HGNC:28440","UTP25","MGC29875|DEF","C1orf107|DIEXF"
"PLPPR5","HGNC:31703","PLPPR5","PAP2D|PAP2|LPPR5|PRG5",""
"PLPPR4","HGNC:23496","PLPPR4","PRG-1|LPPR4|KIAA0455|PHP1",""
"SERPINC1","HGNC:775","SERPINC1","ATIII|MGC22579","AT3"
"RCAN3","HGNC:3042","RCAN3","","DSCR1L2"
"SYF2","HGNC:19824","SYF2","p29|DKFZp564O2082|NTC31|fSAP29","CBPIN"
"RSRP1","HGNC:25234","RSRP1","DJ465N24.2.1","C1orf63"
"SLC35A3","HGNC:11023","SLC35A3","",""
"RCOR3","HGNC:25594","RCOR3","FLJ10876",""
"STMN1","HGNC:6510","STMN1","SMN|OP18|PR22|PP19|PP17|Lag|FLJ32206","LAP18|C1orf215"
"MTFR1L","HGNC:28836","MTFR1L","","FAM54B"
"MAN1C1","HGNC:19080","MAN1C1","HMIC",""
"NEK2","HGNC:7745","NEK2","NLK1|NEK2A|RP67|PPP1R111",""
"RPS6KA1","HGNC:10430","RPS6KA1","RSK1|HU-1|p90Rsk|MAPKAPK1",""
"DHDDS","HGNC:20603","DHDDS","HDS|FLJ13102|DS|RP59|hCIT",""
"NENF","HGNC:30384","NENF","CIR2|SCIRP10|SPUF",""
"NSL1","HGNC:24548","NSL1","DC8|DKFZP566O1646|MIS14","C1orf48"
"PROX1","HGNC:9459","PROX1","",""
"ARID1A","HGNC:11110","ARID1A","B120|P270|C10rf4|BAF250|BAF250a","C1orf4|SMARCF1"
"CENPF","HGNC:1857","CENPF","hcp-1",""
"RPA2","HGNC:10290","RPA2","",""
"PPP1R8","HGNC:9296","PPP1R8","ard-1|NIPP-1|PRO2047|ARD1|NIPP1",""
"STX12","HGNC:11430","STX12","STX13|STX14",""
"MARC2","HGNC:26064","MTARC2","FLJ20605","MOSC2|MARC2"
"SLC5A9","HGNC:22146","SLC5A9","SGLT4",""
"OSBPL9","HGNC:16386","OSBPL9","",""
"TXNDC12","HGNC:24626","TXNDC12","TLP19|ERP18|ERP19|hAG-1|AGR1|PDIA16",""
"ESYT2","HGNC:22211","ESYT2","KIAA1228|CHR2SYT","FAM62B"
"CD3EAP","HGNC:24219","POLR1G","ASE-1|CAST|PAF49|RPA34|A34.5","CD3EAP"
"MESD","HGNC:13520","MESD","KIAA0081|BOCA","MESDC2"
"RCN2","HGNC:9935","RCN2","ERC-55|E6BP|ERC55|TCBP49",""
"CHRNB4","HGNC:1964","CHRNB4","",""
"MUC5B","HGNC:7516","MUC5B","MG1","MUC5"
"CTSD","HGNC:2529","CTSD","CLN10","CPSD"
"COLEC11","HGNC:17213","COLEC11","MGC3279|CL-K1|CL-11",""
"STAG1","HGNC:11354","STAG1","SA-1|SCC3A|SA1",""
"A4GNT","HGNC:17968","A4GNT","alpha4GnT",""
"STK11","HGNC:11389","STK11","PJS|LKB1",""
"KMT2A","HGNC:7132","KMT2A","TRX1|HRX|ALL-1|HTRX1|CXXC7|MLL1A|MLL1|ALL1|HTRX","MLL"
"TREH","HGNC:12266","TREH","TRE|TREA|MGC129621",""
"IFT46","HGNC:26146","IFT46","C11orf2|FLJ21827|FAP32|CFAP32","C11orf60"
"MMP8","HGNC:7175","MMP8","","CLG1"
"APOA1","HGNC:600","APOA1","",""
"ZNF541","HGNC:25294","ZNF541","DKFZp434I1930",""
"SLC8A2","HGNC:11069","SLC8A2","NCX2|KIAA1087",""
"KPTN","HGNC:6404","KPTN","2E4|KICS4",""
"RPS25","HGNC:10413","RPS25","S25|eS25",""
"KIF14","HGNC:19181","KIF14","KIAA0042",""
"TNNT2","HGNC:11949","TNNT2","CMPD2","CMH2|CMD1D"
"DDX59","HGNC:25360","DDX59","DKFZP564B1023|ZNHIT5",""
"CAMSAP2","HGNC:29188","CAMSAP2","KIAA1078","CAMSAP1L1"
"ATF6","HGNC:791","ATF6","ATF6A",""
"CRYGD","HGNC:2411","CRYGD","","CRYG4"
"MREG","HGNC:25478","MREG","FLJ10116|DSU|WDT2",""
"TNP1","HGNC:11951","TNP1","",""
"FASTKD2","HGNC:29160","FASTKD2","","KIAA0971"
"NRP2","HGNC:8005","NRP2","VEGF165R2",""
"CREB1","HGNC:2345","CREB1","",""
"KLF7","HGNC:6350","KLF7","UKLF",""
"TTR","HGNC:12405","TTR","HsT2651|CTS","PALB|CTS1"
"B4GALT6","HGNC:929","B4GALT6","beta4GalT-VI",""
"C1orf54","HGNC:26258","C1orf54","FLJ23221",""
"CA14","HGNC:1372","CA14","",""
"CASC1","HGNC:29599","DNAI7","LAS1|FLJ10921|PPP1R54","CASC1|CFAP94"
"LRMP","HGNC:6690","IRAG2","JAW1","LRMP"
"ATP10B","HGNC:13543","ATP10B","ATPVB|KIAA0715|FLJ21477",""
"SPCS2","HGNC:28962","SPCS2","KIAA0102",""
"USP35","HGNC:20061","USP35","KIAA1372",""
"ELOVL4","HGNC:14415","ELOVL4","CT118","STGD2|STGD3|SCA34"
"FILIP1","HGNC:21015","FILIP1","FILIP|KIAA1275",""
"CASP8AP2","HGNC:1510","CASP8AP2","FLASH|CED-4|RIP25|FLJ11208|KIAA1315",""
"HMGN3","HGNC:12312","HMGN3","","TRIP7"
"UBE3D","HGNC:21381","UBE3D","DKFZp434A1520|H10BH|YJR141W","C6orf157|UBE2CBP"
"CNR1","HGNC:2159","CNR1","CB1K5|CB-R|CB1|CANN6|CB1A","CNR"
"SPACA1","HGNC:14967","SPACA1","SAMP32",""
"ANKRD13C","HGNC:25374","ANKRD13C","DKFZP566D1346|dJ677H15.3",""
"SGIP1","HGNC:25412","SGIP1","DKFZp761D221",""
"PHF3","HGNC:8921","PHF3","",""
"ZC2HC1B","HGNC:21174","ZC2HC1B","dJ468K18.5","FAM164B|C6orf94"
"ADGB","HGNC:21212","ADGB","FLJ23121|dJ408K24.1|CAPN16","C6orf103"
"PLAGL1","HGNC:9046","PLAGL1","ZAC|LOT1",""
"FBXO30","HGNC:15600","FBXO30","MGC21674|Fbx30",""
"TNFAIP3","HGNC:11896","TNFAIP3","A20|OTUD7C",""
"AKAP7","HGNC:377","AKAP7","AKAP18|AKAP15",""
"RAB32","HGNC:9772","RAB32","",""
"MYB","HGNC:7545","MYB","c-myb",""
"ALDH8A1","HGNC:15471","ALDH8A1","ALDH12",""
"SGK1","HGNC:10810","SGK1","","SGK"
"RNF146","HGNC:21336","RNF146","DKFZp434O1427|dactylidin|dJ351K20.1",""
"ARG1","HGNC:663","ARG1","",""
"CTGF","HGNC:2500","CCN2","IGFBP8","CTGF"
"TCF21","HGNC:11632","TCF21","POD1|bHLHa23",""
"PMFBP1","HGNC:17728","PMFBP1","",""
"FBXL5","HGNC:13602","FBXL5","FBL4|FBL5|FLR1",""
"MED28","HGNC:24628","MED28","EG1|DKFZP434N185|magicin",""
"SLC16A7","HGNC:10928","SLC16A7","MCT2",""
"RXYLT1","HGNC:13530","RXYLT1","HP10481","TMEM5"
"ZNF430","HGNC:20808","ZNF430","FLJ13659",""
"VAMP8","HGNC:12647","VAMP8","EDB|VAMP-8",""
"DCLRE1B","HGNC:17641","DCLRE1B","SNM1B|FLJ12810|FLJ13998|APOLLO",""
"MYL12B","HGNC:29827","MYL12B","MRLC2",""
"FOXO3","HGNC:3821","FOXO3","AF6q21|FOXO2","FKHRL1|FOXO3A"
"ARMC2","HGNC:23045","ARMC2","DKFZp434P0714|bA787I22.1",""
"GHRH","HGNC:4265","GHRH","","GHRF"
"RPN2","HGNC:10382","RPN2","SWP1|RPNII|RIBIIR|RPN-II",""
"TGIF2","HGNC:15764","TGIF2","",""
"CASQ2","HGNC:1513","CASQ2","PDIB2",""
"OLFM3","HGNC:17990","OLFM3","NOE3",""
"PKD2","HGNC:9009","PKD2","PKD4|PC2|Pc-2|TRPP2",""
"ABCG2","HGNC:74","ABCG2","EST157481|MXR|BCRP|ABCP|CD338",""
"SPP1","HGNC:11255","SPP1","BSPI|ETA-1|lnc-PKD2-2-3","BNSP|OPN"
"STBD1","HGNC:24854","STBD1","FLJ41801|GENX-3414",""
"CCNI","HGNC:1595","CCNI","CCNI1",""
"RARRES1","HGNC:9867","RARRES1","TIG1|LXNL",""
"MFSD1","HGNC:25874","MFSD1","FLJ14153|UG0581B09|Minerva",""
"RAB3GAP2","HGNC:17168","RAB3GAP2","RAB3-GAP150|KIAA0839|DKFZP434D245|SPG69",""
"EEF2KMT","HGNC:32221","EEF2KMT","SB153|MGC19636|EFM3","FAM86A"
"PPL","HGNC:9273","PPL","",""
"UBN1","HGNC:12506","UBN1","",""
"KLF12","HGNC:6346","KLF12","AP-2rep|HSPC122|AP2REP",""
"UCHL3","HGNC:12515","UCHL3","",""
"PCDH17","HGNC:14267","PCDH17","PCDH68|PCH68",""
"HS1BP3","HGNC:24979","HS1BP3","HS1-BP3|FLJ14249",""
"LDAH","HGNC:26145","LDAH","FLJ21820","C2orf43"
"WDR35","HGNC:29250","WDR35","MGC33196|KIAA1336|IFT121|IFTA1|FAP118|CFAP118",""
"CCND2","HGNC:1583","CCND2","",""
"FGF23","HGNC:3680","FGF23","",""
"ELL2","HGNC:17064","ELL2","MRCCAT1",""
"DNAH7","HGNC:18661","DNAH7","KIAA0944",""
"CYP20A1","HGNC:20576","CYP20A1","CYP-M",""
"NDUFB3","HGNC:7698","NDUFB3","B12",""
"GTF3C3","HGNC:4666","GTF3C3","TFiiiC2-102|TFIIIC102",""
"SATB2","HGNC:21637","SATB2","KIAA1034|FLJ21474",""
"UBE2B","HGNC:12473","UBE2B","UBC2|HHR6B|RAD6B",""
"TRPM6","HGNC:17995","TRPM6","CHAK2|FLJ22628","HOMG|HSH"
"GDA","HGNC:4212","GDA","CYPIN|GAH",""
"KLF9","HGNC:1123","KLF9","","BTEB1"
"TJP2","HGNC:11828","TJP2","ZO-2|X104|ZO2","DFNA51"
"C2orf40","HGNC:24642","ECRG4","augurin","C2orf40"
"ITGB1BP1","HGNC:23927","ITGB1BP1","ICAP-1A|ICAP-1B|ICAP1|ICAP1A|ICAP1B|ICAP-1alpha",""
"CPSF3","HGNC:2326","CPSF3","CPSF-73|CPSF73|YSH1",""
"PIGZ","HGNC:30596","PIGZ","FLJ12768|MGC52163|SMP3|hSMP3|PIG-Z|GPI-MT-IV",""
"SENP5","HGNC:28407","SENP5","MGC27076",""
"CCDC92","HGNC:29563","CCDC92","FLJ22471",""
"C1orf198","HGNC:25900","C1orf198","FLJ14525|MGC10710|FLJ16283|DKFZp667D152|FLJ38847",""
"TRIM67","HGNC:31859","TRIM67","TNL",""
"HEATR1","HGNC:25517","HEATR1","FLJ10359|BAP28|UTP10",""
"PTBP3","HGNC:10253","PTBP3","DKFZp781I1117","ROD1"
"RAD23B","HGNC:9813","RAD23B","HHR23B|P58|HR23B",""
"FKBP15","HGNC:23397","FKBP15","PPP1R76|FKBP133|WAFL","KIAA0674"
"CTNNAL1","HGNC:2512","CTNNAL1","CLLP|alpha-CATU",""
"FAM206A","HGNC:1364","ABITRAM","CG-8|FLJ20457|Simiate","C9orf6|FAM206A"
"WDR34","HGNC:28296","DYNC2I2","DIC5|MGC20486|bA216B9.3|FAP133|CFAP133","WDR34"
"SET","HGNC:10760","SET","PHAPII|2PP2A|IPP2A2|TAF-IBETA|IGAAD|TAF-I",""
"PTPA","HGNC:9308","PTPA","PR53","PPP2R4"
"GLE1","HGNC:4315","GLE1","hGLE1","GLE1L|LCCS1"
"RAB14","HGNC:16524","RAB14","FBP|RAB-14",""
"CNTRL","HGNC:1858","CNTRL","","CEP1|CEP110"
"TRIM32","HGNC:16380","TRIM32","HT2A|TATIP|BBS11","LGMD2H"
"FBXW2","HGNC:13608","FBXW2","FBW2|Md6|Fwd2",""
"PHF19","HGNC:24566","PHF19","DKFZP727G051|PCL3|MTF2L1|TDRD19B",""
"NEK6","HGNC:7749","NEK6","SID6-1512",""
"BSPRY","HGNC:18232","BSPRY","FLJ20150",""
"PPP6C","HGNC:9323","PPP6C","PP6",""
"NDUFA8","HGNC:7692","NDUFA8","PGIV|MGC793",""
"HDHD3","HGNC:28171","HDHD3","MGC12904","C9orf158"
"RBM18","HGNC:28413","RBM18","MGC2734",""
"SLC46A2","HGNC:16055","SLC46A2","Ly110","TSCOT"
"HSDL2","HGNC:18572","HSDL2","SDR13C1","C9orf99"
"MAPKAP1","HGNC:18752","MAPKAP1","MGC2745|SIN1|MIP1",""
"NR4A3","HGNC:7982","NR4A3","CSMF|CHN|NOR1|MINOR",""
"INVS","HGNC:17870","INVS","","NPHP2"
"GALNT12","HGNC:19877","GALNT12","GalNAc-T12",""
"DENND1A","HGNC:29324","DENND1A","FLJ21129|FAM31A","KIAA1608"
"ALG2","HGNC:23159","ALG2","CDGIi|FLJ14511|hALPG2|NET38|CDG1I",""
"CSF3R","HGNC:2439","CSF3R","GCSFR|G-CSF-R","CD114"
"KDSR","HGNC:4021","KDSR","DHSR|SDR35C1","FVT1"
"VPS4B","HGNC:10895","VPS4B","VPS4-2|SKD1B","SKD1"
"ONECUT2","HGNC:8139","ONECUT2","OC-2",""
"C19orf25","HGNC:26711","C19orf25","FLJ36666",""
"ZBTB45","HGNC:23715","ZBTB45","FLJ14486","ZNF499"
"YLPM1","HGNC:17798","YLPM1","ZAP|PPP1R169","C14orf170"
"DCAF4","HGNC:20229","DCAF4","DKFZp434K114","WDR21|WDR21A"
"PROX2","HGNC:26715","PROX2","FLJ36749",""
"VSX2","HGNC:1975","VSX2","RET1","HOX10|CHX10"
"FCF1","HGNC:20220","FCF1","CGI-35|Bka|UTP24","C14orf111"
"PGF","HGNC:8893","PGF","PlGF-2|SHGC-10760|D12S1900|PIGF|PLGF|PlGF","PGFL"
"IFI27L2","HGNC:19753","IFI27L2","TLH29","FAM14A"
"BBOF1","HGNC:19855","BBOF1","FBB10","C14orf45|CCDC176"
"NEK9","HGNC:18591","NEK9","Nek8|NERCC|DKFZp434D0935|MGC16714|NERCC1",""
"ACYP1","HGNC:179","ACYP1","",""
"IFT43","HGNC:29669","IFT43","FLJ32173|MGC16028","C14orf179"
"NPC2","HGNC:14537","NPC2","HE1|NP-C2|EDDM1",""
"DNAL1","HGNC:23247","DNAL1","MGC12435|1700010H15RiK|CILD16","C14orf168"
"IRF2BPL","HGNC:14282","IRF2BPL","EAP1|KIAA1865","C14orf4"
"ACOT2","HGNC:18431","ACOT2","Mte1|ZAP128",""
"LTBP2","HGNC:6715","LTBP2","","LTBP3|C14orf141"
"AREL1","HGNC:20363","AREL1","FIEL1","KIAA0317"
"MLH3","HGNC:7128","MLH3","",""
"TTLL5","HGNC:19963","TTLL5","STAMP","KIAA0998"
"FLVCR2","HGNC:20105","FLVCR2","FLJ20371|MFSD7C|SLC49A2|CCT","C14orf58"
"ABCD4","HGNC:68","ABCD4","PMP69|P70R|EST352188","PXMP1L"
"DLST","HGNC:2911","DLST","OGDC-E2|KGD2","DLTS"
"PPP4R4","HGNC:23788","PPP4R4","PP4R4|CFAP14","KIAA1622"
"TGFB3","HGNC:11769","TGFB3","","ARVD1|ARVD"
"ZC2HC1C","HGNC:20354","ZC2HC1C","","C14orf140|FAM164C"
"SLIRP","HGNC:20495","SLIRP","DC50","C14orf156"
"RBM25","HGNC:23244","RBM25","S164|fSAP94|NET52|Snu71","RNPC7"
"ALDH6A1","HGNC:7179","ALDH6A1","","MMSDH"
"GPR68","HGNC:4519","GPR68","OGR1",""
"ESRRB","HGNC:3473","ESRRB","ERR2|ERRbeta|NR3B2|ERRb","ESRL2|DFNB35"
"EIF2B2","HGNC:3258","EIF2B2","EIF2B|EIF-2Bbeta|EIF2Bbeta",""
"NRDE2","HGNC:20186","NRDE2","FLJ14051","C14orf102"
"COQ6","HGNC:20233","COQ6","CGI-10",""
"ZNF410","HGNC:20144","ZNF410","APA1|APA-1",""
"RHOQ","HGNC:17736","RHOQ","TC10","RASL7A|ARHQ"
"GPR75","HGNC:4526","GPR75","WI-31133",""
"SUPT7L","HGNC:30632","SUPT7L","STAF65gamma|KIAA0764|SPT7L|STAF65",""
"KLHL29","HGNC:29404","KLHL29","KIAA1921","KBTBD9"
"DNMT3A","HGNC:2978","DNMT3A","",""
"TMEM214","HGNC:25983","TMEM214","FLJ20254",""
"ATAD2B","HGNC:29230","ATAD2B","KIAA1240",""
"FKBP1B","HGNC:3712","FKBP1B","OTK4|FKBP12.6|PPIase|FKBP9","FKBP1L"
"ATL2","HGNC:24047","ATL2","atlastin2","ARL6IP2"
"YPEL5","HGNC:18329","YPEL5","CGI-127",""
"FAM98A","HGNC:24520","FAM98A","DKFZP564F0522",""
"YIPF4","HGNC:28145","YIPF4","MGC11061|FinGER4",""
"AFTPH","HGNC:25951","AFTPH","MGC33965|FLJ20080|FLJ23793|Nbla10388",""
"LGALSL","HGNC:25012","LGALSL","HSPC159|GRP",""
"CNRIP1","HGNC:24546","CNRIP1","DKFZP566K1924|CRIP1|CRIP1a|CRIP1b","C2orf32"
"BCL11A","HGNC:13221","BCL11A","BCL11A-XL|BCL11A-L|BCL11A-S|CTIP1|HBFQTL5|ZNF856|SMARCM1","EVI9"
"CRIPT","HGNC:14312","CRIPT","HSPC139",""
"EPCAM","HGNC:11529","EPCAM","Ly74|TROP1|GA733-2|EGP34|EGP40|EGP-2|KSA|CD326|Ep-CAM|HEA125|KS1/4|MK-1|MH99|MOC31|MOC-31|323/A3|17-1A|TACST-1|CO-17A|ESA|BerEp4|Ber-Ep4","M4S1|MIC18|TACSTD1"
"SLC17A5","HGNC:10933","SLC17A5","AST|SD|ISSD|NSD|SIALIN|SLD","SIASD"
"OGFRL1","HGNC:21378","OGFRL1","dJ331H24.1",""
"SLF2","HGNC:17814","SLF2","FLJ10512|FLJ25012","C10orf6|FAM178A"
"IDE","HGNC:5381","IDE","",""
"TECTB","HGNC:11721","TECTB","",""
"ELOVL3","HGNC:18047","ELOVL3","CIG-30",""
"IFIT3","HGNC:5411","IFIT3","ISG60|RIG-G|CIG-49|IFI60|GARG-49|IRG2","IFIT4"
"NKX2.3","HGNC:7836","NKX2-3","NKX2.3|CSX3|NKX4-3","NKX2C"
"IFIT2","HGNC:5409","IFIT2","IFI-54|ISG-54K|ISG-54|cig42|GARG-39","IFI54|G10P2"
"GPAM","HGNC:24865","GPAM","KIAA1560|MGC26846|GPAT1",""
"CUTC","HGNC:24271","CUTC","CGI-32",""
"PPP1R3C","HGNC:9293","PPP1R3C","PTG","PPP1R5"
"PYROXD2","HGNC:23517","PYROXD2","FLJ23849","C10orf33"
"CNNM1","HGNC:102","CNNM1","","ACDP1"
"MXI1","HGNC:7534","MXI1","MXD2|MAD2|MXI|bHLHc11",""
"SMNDC1","HGNC:16900","SMNDC1","SPF30|SMNR|TDRD16C",""
"C10orf88","HGNC:25822","C10orf88","FLJ13490|Em:AC073585.5|PAAT",""
"HELLS","HGNC:4861","HELLS","PASG|SMARCA6|LSH|Nbla10143",""
"PRLHR","HGNC:4464","PRLHR","PrRPR","GPR10"
"TCTN3","HGNC:24519","TCTN3","DKFZP564D116|TECT3|JBTS18","C10orf61"
"FAM45A","HGNC:31793","DENND10","","FAM45A"
"AVPI1","HGNC:30898","AVPI1","VIP32|PP5395|VIT32",""
