"CCLE_19Q4_gene_symbol","HGNC_ID","HGNC_approved_symbol","HGNC_alias_symbols","HGNC_previous_symbols"
"DHX33","HGNC:16718","DHX33","FLJ21972|DKFZp762F2011","DDX33"
"MEOX1","HGNC:7013","MEOX1","MOX1",""
"THSD7A","HGNC:22207","THSD7A","KIAA0960",""
"LIG3","HGNC:6600","LIG3","LIG3alpha","LIG2"
"RPAP3","HGNC:26151","RPAP3","FLJ21908|spag|hSpagh|Tah1",""
"ACSM3","HGNC:10522","ACSM3","SA","SAH"
"REXO5","HGNC:24661","REXO5","NEF-sp",""
"CIAPIN1","HGNC:28050","CIAPIN1","CIAE2",""
"SPPL2B","HGNC:30627","SPPL2B","IMP4|PSL1|KIAA1532",""
"FAM214B","HGNC:25666","ATOSB","FLJ11560|bA182N22.6","KIAA1539|FAM214B"
"COPZ2","HGNC:19356","COPZ2","MGC23008",""
"PRKAR2B","HGNC:9392","PRKAR2B","","PRKAR2"
"MSL3","HGNC:7370","MSL3","","MSL3L1"
"CREBBP","HGNC:2348","CREBBP","RTS|CBP|KAT3A","RSTS"
"TSPOAP1","HGNC:16831","TSPOAP1","PRAX-1|KIAA0612|RIM-BP1|RIMBP1","BZRAP1"
"MPO","HGNC:7218","MPO","",""
"PON1","HGNC:9204","PON1","ESA","PON"
"GCFC2","HGNC:1317","GCFC2","DNABF|GCF","TCF9|C2orf3"
"WDR54","HGNC:25770","WDR54","FLJ12953",""
"CROT","HGNC:2366","CROT","COT",""
"ABCB4","HGNC:45","ABCB4","MDR2|PFIC-3|GBD1","PGY3|MDR3"
"KMT2E","HGNC:18541","KMT2E","HDCMC04P|SETD5B","MLL5"
"RHBDD2","HGNC:23082","RHBDD2","NPD007","RHBDL7"
"SOX8","HGNC:11203","SOX8","",""
"IBTK","HGNC:17853","IBTK","DKFZP564B116|BTBD26","BTKI"
"ZNF195","HGNC:12986","ZNF195","",""
"MYCBP2","HGNC:23386","MYCBP2","PAM|KIAA0916|FLJ10106|PHR1",""
"FBXL3","HGNC:13599","FBXL3","FBL3|FBL3A","FBXL3A"
"ITGAL","HGNC:6148","ITGAL","LFA-1|LFA1A","CD11A"
"PDK2","HGNC:8810","PDK2","PDHK2",""
"ITGA3","HGNC:6139","ITGA3","CD49c|VLA3a|VCA-2|GAP-B3","MSK18"
"ZFX","HGNC:12869","ZFX","ZNF926",""
"LAMP2","HGNC:6501","LAMP2","CD107b",""
"ITGA2B","HGNC:6138","ITGA2B","CD41B|CD41|PPP1R93|GPIIb","GP2B"
"ASB4","HGNC:16009","ASB4","ASB-4",""
"GDE1","HGNC:29644","GDE1","MIR16",""
"REX1BD","HGNC:26098","REX1BD","FLJ20850|FLJ30108|FLJ34606|FLJ37391","C19orf60"
"CRLF1","HGNC:2364","CRLF1","CLF-1|CLF|CISS|CISS1",""
"OSBPL7","HGNC:16387","OSBPL7","ORP7|MGC71150",""
"TMEM98","HGNC:24529","TMEM98","DKFZP564K1964",""
"YBX2","HGNC:17948","YBX2","MSY2|CSDA3|Contrin",""
"KRT33A","HGNC:6450","KRT33A","Ha-3I|Krt1-3","KRTHA3A"
"MAP3K14","HGNC:6853","MAP3K14","NIK|HSNIK|FTDCR1B|HS",""
"ABCC8","HGNC:59","ABCC8","HI|PHHI|SUR1|MRP8|ABC36|HHF1|TNDM2","SUR|HRINS"
"CACNG3","HGNC:1407","CACNG3","",""
