Gene,Log2FC,sd.Log2FC
ARAP2,2.459867913,NA
ARF3,0.50340364,NA
ARF4,0.636424042,NA
ARFGAP2,0.813696846,NA
ARFGAP3,0.983045736,NA
ARFGEF1,0.8806559,NA
ARG2,1.45766103,NA
ARGLU1,-0.505340377,NA
ARHGAP29,1.818545698,NA
ARHGAP32,1.398691601,NA
ARHGAP4,-1.281559093,NA
ARHGAP45,4.950867272,NA
ARHGDIA,-0.63973637,NA
ARHGDIB,8.052843459,NA
ARHGEF10,-1.016150647,NA
ARHGEF10L,0.600548612,NA
ARHGEF16,1.218773087,NA
ARHGEF17,1.593081558,NA
ARHGEF28,-0.674905086,NA
ARHGEF3,0.970216287,NA
ARHGEF40,-1.555271651,NA
ARHGEF5,2.08861026,NA
ARHGEF9,-0.904688786,NA
ARID3A,0.836325495,NA
ARID5B,1.962672849,NA
ARL14,3.60465531,NA
ARL2,-0.804729088,NA
ARL2BP,-0.707511189,NA
ARL3,-1.063866202,NA
ARL8B,0.370962773,NA
ARMC8,0.423117377,NA
ARMCX2,2.505746563,NA
ARNTL2,1.694480887,NA
ARRB1,1.521812511,NA
ARRB2,-2.652385101,NA
ARSE,-2.79316674,NA
ASAP2,0.996385605,NA
ASB9,-1.62836105,NA
ASCC1,-0.647781799,NA
ASCC2,0.865883582,NA
ASF1A,-0.714391238,NA
ASF1B,1.164773192,NA
ASIC1,-1.142437204,NA
ASIC2,-1.050583135,NA
ASNS,-1.775835622,NA
ASNSD1,-0.94703413,NA
ASPH,-1.135134587,NA
ATF7IP,1.199799063,NA
ATG13,1.004417258,NA
ATG4B,0.44838323,NA
ATG7,-1.683396829,NA
ATM,-0.76832457,NA
ATMIN,1.244691227,NA
ATP10D,1.011860336,NA
ATP13A2,1.247554425,NA
ATP1A1,1.825048241,NA
ATP2A2,-0.795543419,NA
ATP2B1,-0.670799327,NA
ATP2B4,1.10177928,NA
ATP2C1,0.694269163,NA
ATP2C2,2.255788388,NA
ATP6AP2,-0.662541472,NA
ATP6V0A4,0.894847587,NA
ATP6V0C,0.418327333,NA
ATP7A,-0.707305635,NA
ATP8B2,-1.105228619,NA
ATP8B4,-1.958879851,NA
ATP9B,-1.169697219,NA
ATXN2L,1.000186409,NA
ATXN7L1,-0.896945399,NA
AUNIP,0.44485758,NA
AURKC,0.904117863,NA
AVEN,-1.172724325,NA
AVPI1,-1.781443793,NA
B3GALNT1,3.192860494,NA
B3GNT3,2.439876771,NA
B4GALNT1,-1.698010059,NA
B4GALT1,-0.894101103,NA
B4GALT5,1.161900794,NA
BAAT,-2.956209029,NA
BABAM1,0.783196949,NA
BACH2,0.844615621,NA
BAG1,-1.594513608,NA
BAG5,0.918095773,NA
BAG6,0.641862998,NA
BAHD1,0.995696076,NA
BAIAP2,1.451152248,NA
BAMBI,-1.633358128,NA
BARD1,1.482320035,NA
BASP1,-2.725510475,NA
BATF,2.94111213,NA
BBIP1,-1.761567046,NA
BBS4,-1.308406594,NA
BBS9,1.459471455,NA
BCAP29,0.795073781,NA
BCAR3,0.819912447,NA
BCAS2,1.074028801,NA
BCAS3,-1.098794536,NA
BCAT1,-0.948473821,NA
BCAT2,-0.801051593,NA
BCCIP,-1.439908672,NA
BCHE,-2.704805705,NA
BCL10,1.117229471,NA
BCL11B,-1.281669486,NA
BCL2,-0.99501274,NA
BCL6,1.277639481,NA
BCO1,-1.239990699,NA
BCOR,-2.378033227,NA
BCR,0.996762122,NA
BCS1L,-0.512830413,NA
BDH1,1.041069013,NA
BDKRB1,-1.078071459,NA
BDKRB2,-2.288669534,NA
BDNF,-1.958824632,NA
BECN1,-0.693139022,NA
BEGAIN,-1.513775281,NA
BEX3,-0.65908749,NA
BHLHB9,-1.36968258,NA
BHLHE41,2.921534422,NA
BICC1,-0.933820421,NA
BID,0.533944957,NA
BIK,3.869667119,NA
BIN1,1.035287722,NA
BLCAP,1.250511687,NA
BLMH,-0.859347832,NA
BLVRA,-0.825154128,NA
BLVRB,-0.77402324,NA
BLZF1,-1.316809554,NA
BMP2,1.553649181,NA
BMP6,-1.674136069,NA
BMP8A,-0.839178117,NA
BMPR1B,-1.818487835,NA
BNC2,-1.320367217,NA
BOLA1,-0.591615479,NA
BORCS6,-1.418652778,NA
BPTF,0.648843525,NA
BRCC3,-0.944693629,NA
BRD1,0.880377495,NA
BRD4,0.717192804,NA
BRD9,1.151928157,NA
BRIX1,0.745476582,NA
BRWD1,1.306852075,NA
BSDC1,0.61151328,NA
BSPRY,3.458739105,NA
BST1,-3.764511499,NA
BST2,3.538313198,NA
BTF3,-0.402574145,NA
BTG2,-1.697157265,NA
BTN3A1,0.585927232,NA
BTRC,-0.543920453,NA
BUB3,-0.457606191,NA
BZW2,0.909316417,NA
C11orf58,-0.801443524,NA
C11orf68,0.694110481,NA
C11orf80,1.025879106,NA
C12orf10,-0.791637619,NA
C12orf29,-0.639319217,NA
C12orf4,0.519108425,NA
C12orf43,-0.527529487,NA
C15orf39,-1.259990485,NA
C16orf45,-1.950451461,NA
C16orf95,-0.861242235,NA
C17orf75,-0.762148326,NA
C19orf53,0.413311351,NA
C19orf54,-0.703181407,NA
C1GALT1,1.085142749,NA
C1orf116,2.485910826,NA
C1orf159,0.853569394,NA
C1QBP,-1.160378228,NA
C1QTNF3,0.903195343,NA
C1R,-1.700222584,NA
C1S,-4.046627904,NA
C20orf27,-0.735028564,NA
C21orf91,1.139211081,NA
C2CD2,0.724699969,NA
C2orf72,-1.283473347,NA
C4BPA,-1.412456482,NA
C5,-2.400087329,NA
C5AR1,-1.710973271,NA
C5orf22,1.072392472,NA
C5orf30,-0.773070787,NA
C6orf106,0.575027239,NA
C9orf16,0.773516799,NA
C9orf3,-2.297533231,NA
CA11,-0.58679847,NA
CA12,-4.636676384,NA
CA8,-3.081152743,NA
CAAP1,-0.816060981,NA
CAB39,1.134709027,NA
CABYR,-1.377895788,NA
CACNA1G,-2.255771393,NA
CACNA2D1,-1.763797893,NA
CACNA2D3,-1.455185098,NA
CACNB2,-1.587043254,NA
CACYBP,-0.430027808,NA
CAD,-0.557059069,NA
CADPS2,1.074021669,NA
CALB2,2.695550554,NA
CALCRL,-1.41646406,NA
CALD1,-0.795337718,NA
CALML4,-1.082523334,NA
CALR,1.160979228,NA
CALU,0.894277342,NA
CAMK1,-1.844999777,NA
CAMK1D,1.624359292,NA
CAMK2G,1.441824407,NA
CAMSAP1,-0.654378141,NA
CAMSAP2,-0.492833682,NA
CANX,-0.453739228,NA
CAP1,0.407883887,NA
CAP2,-0.930326724,NA
CAPG,1.464324372,NA
CAPN1,1.161891257,NA
CAPN2,0.598389952,NA
CAPZA1,0.500043312,NA
CARD10,1.600318745,NA
CARHSP1,0.743331729,NA
CARMIL1,0.393214115,NA
CARS,-0.733136396,NA
CASP1,1.999406945,NA
CASP4,1.261611484,NA
CASP5,1.345955807,NA
CASP8,-0.500141578,NA
CASP9,-0.645365769,NA
CASR,-0.945137695,NA
CAST,-0.62323909,NA
CBFA2T2,1.300171616,NA
CBLC,4.038373274,NA
CBX3,0.536981262,NA
CBX6,0.874221388,NA
CBX7,1.677378098,NA
CBX8,-1.037916508,NA
CBY1,1.403686307,NA
CC2D1A,0.961985858,NA
CCDC106,-1.706273416,NA
CCDC134,1.528312812,NA
CCDC15,0.779397584,NA
CCDC22,-0.746786036,NA
CCDC25,-1.52517123,NA
CCDC68,-1.637869521,NA
CCDC88A,-1.193265954,NA
CCDC93,0.535471144,NA
CCK,2.511978187,NA
CCL23,-1.063489431,NA
CCL7,-1.19344315,NA
CCNB1IP1,-1.487235082,NA
CCND3,-0.790540533,NA
CCNE1,0.72629365,NA
CCNE2,1.296484479,NA
CCNG1,-1.082778982,NA
CCNG2,1.515148182,NA
CCNH,-0.410982358,NA
CCNJ,-0.877384779,NA
CCNT2,-0.41622068,NA
CCPG1,-1.18515127,NA
CCSER2,0.746992552,NA
CCT2,-0.415399585,NA
CCT5,0.411996484,NA
CCT6A,1.151362005,NA
CCT7,-0.448949433,NA
CD226,-1.279566009,NA
CD248,-0.935716766,NA
CD300A,-1.134438111,NA
CD36,2.255627339,NA
CD44,1.484660168,NA
CD47,1.498432551,NA
CD58,1.390683426,NA
CD59,1.339363174,NA
CD70,-2.879165636,NA
CD74,1.892593534,NA
CD82,1.289626133,NA
CD83,0.8637512,NA
CD9,2.710886824,NA
CDA,2.471370597,NA
CDC123,-0.812650883,NA
CDC14B,0.92388919,NA
CDC16,-0.515964605,NA
CDC25B,-0.978973919,NA
CDC27,-0.593384572,NA
CDC37L1,-0.652239819,NA
CDC42,0.038804526,NA
CDC42BPA,-0.601993528,NA
CDC42EP1,1.338463266,NA
CDC42EP3,1.657820456,NA
CDCA8,1.232830787,NA
CDCP1,3.837738878,NA
CDH1,4.252827327,NA
CDH10,-1.459561565,NA
CDH15,-1.028267225,NA
CDH17,-3.668976484,NA
CDH19,-3.542643693,NA
CDH2,-2.973969999,NA
CDH3,8.50708517,NA
CDH4,-2.841496183,NA
CDH5,4.034505488,NA
CDH7,-1.227510445,NA
CDIP1,2.24733928,NA
CDK13,0.825620309,NA
CDK14,3.744930899,NA
CDK18,1.065815822,NA
CDK20,-0.407994452,NA
CDK2AP1,0.473665924,NA
CDK4,-0.575150134,NA
CDK5R1,-1.056195429,NA
CDK5RAP2,-1.242442647,NA
CDKL1,-1.1389939,NA
CDKN2C,-1.54365939,NA
CDS1,4.725675234,NA
CDS2,-0.817408013,NA
CDV3,0.448747298,NA
CEBPZ,-0.418799538,NA
CELSR1,1.644854406,NA
CENPU,0.988265482,NA
CEP104,0.46827553,NA
CEP112,-1.595443212,NA
CEP164,-0.747840046,NA
CEP192,0.530341162,NA
CEP290,-0.723758611,NA
CEP350,0.622506981,NA
CEP57,0.414763596,NA
CEP68,-0.860164666,NA
CEP70,0.737194746,NA
CEPT1,0.948939535,NA
CERS2,-0.671116156,NA
CERS6,-0.705796989,NA
CFAP45,1.053258624,NA
CFAP46,-1.377936552,NA
CFH,-3.224407936,NA
CFHR4,-1.580394591,NA
CGREF1,-3.130030214,NA
CHCHD2,0.922887973,NA
CHCHD7,0.626651282,NA
CHD1L,-0.843874011,NA
CHD7,0.417421369,NA
CHERP,0.608504497,NA
CHFR,-0.695085464,NA
CHI3L1,2.582679814,NA
CHIC2,0.537192727,NA
CHKA,1.529504063,NA
CHKB,0.863948814,NA
CHMP7,-0.428995782,NA
CHN1,-1.325748561,NA
CHPF,1.179271665,NA
CHPF2,0.708694939,NA
CHPT1,-1.365491804,NA
CHRM3,1.368172966,NA
CHRNA5,-1.307385352,NA
CHST10,-1.491501202,NA
CHST12,0.482835901,NA
CHST15,0.762268856,NA
CHST4,0.565161221,NA
CHST5,-0.624784113,NA
CHST7,-1.609964798,NA
CHUK,-0.73606923,NA
CIAPIN1,-0.576442806,NA
CIB1,-0.626713676,NA
CIDEB,-0.771035556,NA
CIDEC,-1.068261887,NA
CIITA,-0.000770104,NA
CITED2,2.025545362,NA
CLASP2,-0.492958254,NA
CLCA1,-0.741123274,NA
CLCA2,3.56131351,NA
CLCN3,0.702800216,NA
CLDN15,-1.21855305,NA
CLDN4,5.783243449,NA
CLDN7,5.572029273,NA
CLDN9,0.870906607,NA
CLEC11A,-2.020917961,NA
CLEC2B,-1.344651416,NA
CLEC7A,3.399484532,NA
CLGN,-3.100205812,NA
CLIC1,0.609672,NA
CLIC3,6.136425105,NA
CLMN,1.657261858,NA
CLN3,-0.527371905,NA
CLN8,-1.003897287,NA
CLOCK,0.49425624,NA
CLPP,-0.483515098,NA
CLPX,-0.922232806,NA
CLSTN1,0.54409138,NA
CLTA,-0.509780315,NA
CLTB,1.1569281,NA
CLTC,-0.306664461,NA
CLU,-2.808191718,NA
CMTM6,0.634799856,NA
CMTR1,0.542164291,NA
CNDP2,0.565199039,NA
CNIH1,-0.586146135,NA
CNKSR1,3.170124307,NA
CNN3,1.398289922,NA
CNNM2,-0.621222004,NA
CNNM4,0.912029115,NA
CNOT3,0.574378703,NA
CNOT4,0.53706471,NA
