Gene,Log2FC,sd.Log2FC
ELMO3,2.307715389,NA
ELOVL2,-2.334040037,NA
ELP5,-1.882904633,NA
EMC1,0.856496889,NA
EMC2,0.713414445,NA
EMC3,-0.732586195,NA
EMC7,-0.79687629,NA
EMC9,-1.27079523,NA
EMILIN2,-1.023849227,NA
EML1,-1.250193307,NA
EMP1,2.686145665,NA
EMP2,1.220032373,NA
EMP3,-1.412892264,NA
EN2,-1.83337022,NA
ENC1,1.97821839,NA
ENDOD1,1.205386188,NA
ENGASE,-0.641670712,NA
ENO3,-1.859455991,NA
ENOSF1,0.596117769,NA
ENPP1,0.705617918,NA
ENPP2,-1.754110443,NA
ENPP4,1.435250947,NA
ENSA,0.872600173,NA
ENTPD4,-0.753766655,NA
EPB41L4B,0.90040095,NA
EPB41L5,-0.660344096,NA
EPCAM,5.323322214,NA
EPHA1,3.995266656,NA
EPHA2,1.01544836,NA
EPHA4,1.832921508,NA
EPHB3,1.434302764,NA
EPHB4,0.664876966,NA
EPHX1,-1.618538272,NA
EPHX2,-2.028538708,NA
EPN1,0.83583507,NA
EPN3,4.714601717,NA
EPPK1,1.47597808,NA
EPS15,0.476039737,NA
ERAL1,-0.452204619,NA
ERAP2,4.124957239,NA
ERBB2,1.10749388,NA
ERBB3,2.05976309,NA
ERCC2,1.171804715,NA
EREG,-1.598062465,NA
ERF,-0.910089436,NA
ERGIC2,1.032539114,NA
ERGIC3,0.870338224,NA
ERI3,0.538617305,NA
ERLIN2,-0.752241507,NA
ERO1B,-2.138646893,NA
ERP44,-1.135753343,NA
ESD,-0.9017733,NA
ESM1,-1.554276524,NA
ESR1,0.85388758,NA
ESRP1,7.322448651,NA
ETFA,-0.82735993,NA
ETFB,-0.574030812,NA
ETHE1,0.476768378,NA
ETNK2,0.724450937,NA
ETV6,0.684546481,NA
ETV7,0.582089352,NA
EVC,-2.713096843,NA
EVPL,1.419946049,NA
EXO5,0.830458151,NA
EXOC7,1.100158024,NA
EXOG,-0.645877819,NA
EXPH5,2.043360532,NA
EXT1,1.113342811,NA
EXT2,0.701462548,NA
EYA4,-1.844792163,NA
EZH1,-0.517214027,NA
EZR,0.569650618,NA
F11R,1.966841605,NA
F2,-1.343861845,NA
F3,5.081676968,NA
F5,-1.294238184,NA
FAAH,1.939869115,NA
FABP6,-2.785536175,NA
FADS2,-1.198094129,NA
FAF1,0.623615152,NA
FAM102A,0.52911024,NA
FAM111A,1.287712487,NA
FAM117A,1.007965736,NA
FAM120C,-1.100531411,NA
FAM155B,-2.218894627,NA
FAM163A,-1.08748529,NA
FAM171A1,-1.683147372,NA
FAM173A,-0.530519363,NA
FAM174B,1.903085682,NA
FAM186A,-1.138266036,NA
FAM189A1,-0.999239641,NA
FAM189A2,0.683598299,NA
FAM192A,-0.423530509,NA
FAM216A,-1.10158362,NA
FAM234B,0.486759506,NA
FAM32A,0.452117931,NA
FAM3C,1.042728216,NA
FAM49A,1.698430731,NA
FAM49B,0.451842678,NA
FAM50B,0.759982134,NA
FAM57A,-0.492324497,NA
FAM89B,0.820278811,NA
FAN1,-0.513760053,NA
FANCC,-0.549762962,NA
FANCF,-1.186404596,NA
FAP,2.192222889,NA
FAR2,3.042135853,NA
FARP1,1.301393335,NA
FARS2,-0.512402826,NA
FASTKD1,-1.170121251,NA
FASTKD5,-0.97030467,NA
FAXDC2,1.825060273,NA
FBL,-0.671796714,NA
FBLN1,2.735063959,NA
FBN2,-2.829889199,NA
FBP1,2.342852307,NA
FBP2,-0.691530937,NA
FBXL12,0.329443567,NA
FBXL15,-1.4703816,NA
FBXL7,-1.243252498,NA
FBXO17,-2.970237366,NA
FBXO2,1.700352668,NA
FBXO21,-0.879066562,NA
FBXO28,0.51516103,NA
FBXO42,0.669595876,NA
FBXW2,-0.749537809,NA
FBXW7,0.961894495,NA
FCGBP,-1.531816896,NA
FDFT1,-0.774115177,NA
FDXR,-2.582649318,NA
FECH,-1.294115984,NA
FEM1B,-0.605266405,NA
FEM1C,0.563712424,NA
FES,-1.444821865,NA
FEZ1,-0.950119475,NA
FGA,-3.409628379,NA
FGB,-4.14218089,NA
FGD1,-0.972656603,NA
FGF12,1.489834336,NA
FGF18,-0.794648241,NA
FGF2,-3.771520439,NA
FGFBP1,1.520302429,NA
FGFR1OP,0.747113144,NA
FGFR2,2.938922253,NA
FGFR4,-2.299389844,NA
FGG,-5.474156483,NA
FGGY,0.678016176,NA
FGL1,-2.394196969,NA
FH,-0.592393092,NA
FHL1,-1.494232414,NA
FHL2,1.394612684,NA
FILIP1L,2.594344653,NA
FKBP11,-1.780995442,NA
FKBP14,1.397028757,NA
FKBP1B,-1.124140104,NA
FKBP2,0.775923852,NA
FKBP3,-1.00511848,NA
FKBP8,1.432508027,NA
FKTN,-0.471861198,NA
FLAD1,-0.526939112,NA
FLNB,-0.733154445,NA
FLOT2,-0.47106835,NA
FLRT3,-1.259020036,NA
FLT3LG,1.265837703,NA
FLT4,-1.455978702,NA
FLVCR2,1.56618203,NA
FMNL1,-2.222217506,NA
FN1,-2.027023007,NA
FN3KRP,-0.535876563,NA
FNBP1,0.734140346,NA
FNBP1L,0.755120912,NA
FOSL2,1.024489524,NA
FOXA2,-2.868480415,NA
FOXE1,1.075066973,NA
FOXF2,-1.074286294,NA
FOXG1,-1.221912167,NA
FOXJ3,0.819645528,NA
FOXL2,-2.171776851,NA
FOXO3,1.739033803,NA
FPR3,-1.076179882,NA
FRYL,0.834609141,NA
FST,-1.59146115,NA
FTL,-0.870900437,NA
FTSJ1,-0.474450871,NA
FUT1,1.805730906,NA
FUT3,2.171249684,NA
FUT4,1.463964266,NA
FUT6,1.889639571,NA
FUT9,3.814196091,NA
FXR2,-0.584621697,NA
FXYD2,-2.637557542,NA
FXYD3,3.942507727,NA
FXYD5,1.522996771,NA
FYN,2.64813599,NA
FZD3,-1.372933623,NA
FZD5,-0.918420389,NA
G0S2,1.373889317,NA
G6PC3,-0.777609227,NA
G6PD,-2.264256611,NA
GAA,-1.149695339,NA
GABRA1,-1.152843304,NA
GABRA5,-3.025810536,NA
GABRB3,-2.372405091,NA
GAD1,3.533232143,NA
GADD45GIP1,0.566750654,NA
GAL3ST1,-3.88343772,NA
GALC,-2.211849522,NA
GALK1,-1.90157051,NA
GALK2,-0.913565957,NA
GALNT10,0.760079354,NA
GALNT12,1.262965997,NA
GALNT2,0.887345746,NA
GALNT3,6.940518007,NA
GALNT6,3.339496102,NA
GALNT7,0.802289055,NA
GAN,1.04505687,NA
GAP43,-0.824766887,NA
GAREM1,0.808405244,NA
GATA3,2.572133642,NA
GATAD2A,0.801441766,NA
GBE1,-1.033362926,NA
GBP1,2.983770061,NA
GBP2,1.370860594,NA
GBX1,-0.70853021,NA
GCAT,1.688640157,NA
GCDH,0.802813513,NA
GCLC,-0.806105019,NA
GCLM,-0.988529522,NA
GCNT3,-3.905067592,NA
GDAP2,0.50889882,NA
GDF15,-3.149156538,NA
GDPD3,2.568137565,NA
GEM,-1.497762861,NA
GEMIN2,-0.590607693,NA
GEMIN6,-0.755015063,NA
GGA1,0.732915682,NA
GGA2,0.940062213,NA
GGCT,0.634373845,NA
GGPS1,-0.876934533,NA
GGTLC1,-1.079059814,NA
GHITM,-0.512970151,NA
GID8,0.976806614,NA
GIP,-2.706236423,NA
GIPC1,1.17642552,NA
GIT2,1.360839427,NA
GJA1,-4.951547252,NA
GJB3,3.762907875,NA
GJB5,1.895894718,NA
GK,-1.120479077,NA
GLA,-1.568065026,NA
GLCE,-0.905242547,NA
GLDC,-3.931195112,NA
GLG1,1.164809802,NA
GLI1,-2.761398618,NA
GLI2,-1.505324162,NA
GLMN,0.598782333,NA
GLOD4,-0.623313764,NA
GLP2R,-1.833251688,NA
GLRX,-1.79963012,NA
GLRX2,-1.178220387,NA
GLRX3,-0.80998848,NA
GLS2,1.361593161,NA
GLT8D1,-0.417779686,NA
GLUD2,-1.592362167,NA
GLUL,2.046702002,NA
GMCL1,-0.597156688,NA
GMEB2,0.61048032,NA
GMIP,1.581445172,NA
GMPR2,-1.193418927,NA
GNA15,2.468716213,NA
GNAI2,0.868604017,NA
GNAI3,0.610975216,NA
GNAL,-2.185141372,NA
GNAO1,1.525018547,NA
GNAS,0.701556828,NA
GNB5,-1.216397997,NA
GNG11,-4.598079529,NA
GNL2,0.655265342,NA
GNL3L,-0.507303203,NA
GNPAT,-0.699333628,NA
GNPDA1,-0.463774823,NA
GOLGA2,1.053453659,NA
GOLGA4,0.44706826,NA
GOLGA7,-0.751591425,NA
GOLGA8A,2.185915852,NA
GOLGA8N,-1.314482144,NA
GOLGB1,0.532877034,NA
GOLPH3,1.000179645,NA
GOSR2,0.616508729,NA
GOT1,-0.74649358,NA
GPATCH2L,1.227419019,NA
GPBP1L1,0.684684635,NA
GPC1,-0.973386349,NA
GPC4,2.086611262,NA
GPD1L,-1.226697609,NA
GPI,-0.598945534,NA
GPKOW,-0.814185655,NA
GPNMB,2.340496807,NA
GPR107,0.665435586,NA
GPR137B,-3.052751547,NA
GPR162,-0.628651811,NA
GPR31,-0.655982756,NA
GPR50,-1.074660711,NA
GPR65,-2.711435017,NA
GPR87,5.520475802,NA
GPRC5A,1.020486126,NA
GPRC5C,-2.106018172,NA
GPRIN2,-0.985868928,NA
GPS1,-0.583827269,NA
GPSM2,2.011324383,NA
GPX1,0.862576318,NA
GPX2,-3.403247711,NA
GPX4,1.095746763,NA
GPX7,1.809568089,NA
GRAMD1B,-1.796141982,NA
GRAMD1C,2.634406592,NA
GRB14,-1.408610327,NA
GREB1,-2.734677258,NA
GREM1,-1.596899427,NA
GRHL2,4.410078044,NA
GRIN1,0.907694775,NA
GRINA,0.629748211,NA
GRK4,1.64683594,NA
GRM5,1.389304659,NA
GRPEL1,0.585745263,NA
GSAP,-1.553408934,NA
GSDMB,1.391010751,NA
GSDMD,1.346524846,NA
GSR,-2.305874962,NA
GSTA4,-2.132255758,NA
GSTK1,0.472057942,NA
GSTM1,-1.318573535,NA
GSTM2,-1.076115695,NA
GSTM4,-0.814865398,NA
GSTO1,-0.929050669,NA
GSTP1,-2.513554567,NA
GTF2A2,-0.617013941,NA
GTF2E2,-0.920061887,NA
GTPBP1,1.571269862,NA
GTPBP2,0.588772011,NA
GTPBP6,-0.817469814,NA
GTSE1,0.834945029,NA
GUCA1B,0.826582885,NA
GUK1,0.722117283,NA
GULP1,-1.148788281,NA
GYG2,-2.317694486,NA
GYS1,0.897213165,NA
H1FX,-0.600814611,NA
H2AFV,0.704658702,NA
H2AFY2,-2.171047727,NA
HARS2,-0.447846021,NA
HAS2,-1.579203772,NA
HAUS3,0.895224036,NA
HAUS7,-0.666138272,NA
HAVCR1,-2.336324537,NA
HBEGF,2.662882821,NA
HBQ1,-2.466573864,NA
HCAR3,3.403803856,NA
HCCS,-0.64335576,NA
HCFC1R1,-0.756536881,NA
HCFC2,0.70582384,NA
HDAC1,0.922077353,NA
HDAC4,-0.995035916,NA
HDAC9,2.542789886,NA
HDHD3,0.566270063,NA
HDLBP,0.67111905,NA
HEATR1,-0.593229319,NA
HEATR6,-1.055652032,NA
HEBP2,0.921267189,NA
HECA,1.46981326,NA
HERC2,-0.818221247,NA
HES1,1.393624687,NA
HEXA,-1.320564396,NA
HEXIM1,-0.973891499,NA
HEY1,-1.342234954,NA
HGD,-4.723275096,NA
HHEX,-2.846377146,NA
HHIPL2,-1.334057829,NA
HHLA3,1.164717673,NA
HIBCH,-0.695926804,NA
HILPDA,-0.980022092,NA
HINT1,-0.53403486,NA
HIST1H2AE,2.636034982,NA
HIST1H3F,-0.87118884,NA
HIST1H3G,1.590989393,NA
HIVEP1,0.585983748,NA
HIVEP2,1.451908141,NA
HIVEP3,0.796953121,NA
HJURP,-0.736186803,NA
HK1,1.297651332,NA
HK2,2.692666357,NA
HMBOX1,-0.705355504,NA
HMGCR,0.98419588,NA
HMGCS1,0.757496624,NA
HMGN5,-3.204309419,NA
HMGXB4,0.506349313,NA
HMOX1,-3.035573695,NA
HNF1A,-0.802795953,NA
HNF1B,-1.472439535,NA
HNF4A,-0.961535747,NA
HNRNPA3,-0.872669692,NA
HNRNPC,-0.466691215,NA
HOMER1,0.867218624,NA
HOMER3,2.477118413,NA
HOOK1,1.519052698,NA
HOOK2,2.35378174,NA
HOXA10,-1.889181137,NA
HOXA4,-1.233899478,NA
HOXA6,-0.576225361,NA
HOXA7,-1.47698212,NA
HOXB13,-1.443789239,NA
HOXB5,-0.668083911,NA
HOXB6,-1.433749739,NA
HOXB7,-0.999672046,NA
HOXC6,-1.653570377,NA
HPD,-1.006376323,NA
HPGD,-3.060971056,NA
HPS1,-0.979762016,NA
HPS6,-0.473780828,NA
HR,-1.709441311,NA
HRH3,-1.591105833,NA
HS1BP3,-1.510053783,NA
HS2ST1,0.812257367,NA
HS3ST1,1.606070044,NA
HSBP1,-1.002774022,NA
HSD17B10,-0.884982676,NA
HSD17B11,-1.84596697,NA
HSD17B8,-1.507033319,NA
HSF1,1.063831614,NA
HSPA12A,-2.398292406,NA
HSPA13,0.778834142,NA
HSPA9,-0.746125074,NA
HSPB1,1.407447511,NA
HSPB11,1.163409732,NA
HSPB6,-0.798094816,NA
HSPB8,-1.037769921,NA
HSPD1,-0.520123345,NA
HSPE1,-0.631049042,NA
HSPG2,2.070262823,NA
HTATIP2,-1.26772461,NA
HTATSF1,0.415169603,NA
HTR1D,-1.553930774,NA
HTR2B,-1.787722012,NA
HTR7,1.407213628,NA
HTRA1,-2.466006582,NA
HTT,0.730092105,NA
HUS1,0.811445021,NA
HYAL2,0.423692479,NA
IARS,-0.483483024,NA
IBTK,-1.007121354,NA
ICA1,1.115952155,NA
ICAM1,2.668358599,NA
ICAM2,1.80442349,NA
ICAM3,1.115354071,NA
ICE1,0.504990254,NA
ICE2,-0.743709928,NA
ICMT,0.534867884,NA
ID2,-3.871063094,NA
ID3,-2.052241086,NA
IDE,-1.107739396,NA
IDH1,-1.284040242,NA
IDH2,1.061525233,NA
IDH3A,-0.830985679,NA
IFI27,5.447624656,NA
IFI44,2.476117888,NA
IFIH1,2.940199118,NA
IFIT2,1.970082472,NA
IFNA17,-0.763732888,NA
IFT20,-0.859225365,NA
IFT74,-1.436685841,NA
IFT88,-0.818142801,NA
IGBP1,-1.026882732,NA
IGF1R,-1.610075639,NA
IGF2BP2,1.983411808,NA
IGF2BP3,0.869967885,NA
IGFBP1,-2.522830819,NA
IGFBP3,2.029492292,NA
IGFBP4,-2.278446904,NA
IGFBP6,-1.486219337,NA
IGFBP7,-3.321385221,NA
IKBKB,-1.208495896,NA
IKBKG,-0.433084131,NA
IL15,-2.71740284,NA
IL15RA,1.750266437,NA
IL1RAP,1.042837865,NA
IL1RN,1.534145494,NA
IL21R,-1.501543145,NA
IL27RA,2.114599936,NA
IL36RN,1.860492911,NA
IL3RA,-0.53649165,NA
IL4R,1.842594514,NA
IL7R,2.088104665,NA
ILVBL,0.711293972,NA
IMP3,-0.704096342,NA
IMPA1,-1.340540419,NA
ING2,0.728402033,NA
INHBA,3.918247628,NA
INPP4B,1.613848287,NA
INPP5F,0.619842973,NA
INSIG2,1.121164588,NA
INSL4,-4.552961639,NA
INTS9,-0.962545913,NA
INVS,-0.661902156,NA
IPO4,-1.078474789,NA
IPO7,-0.926039049,NA
IPO9,0.385705564,NA
IQCC,0.450186493,NA
IQCE,1.61539961,NA
IQGAP2,-1.520616029,NA
IQSEC1,0.64906235,NA
IREB2,-1.52916287,NA
IRF1,0.537936012,NA
IRF3,0.671949844,NA
IRF6,3.447399427,NA
IRS2,-1.686118847,NA
IRX5,2.577042938,NA
ISCA1,-0.531398733,NA
ISG15,3.467677939,NA
ISYNA1,1.985257856,NA
ITCH,1.303131888,NA
ITGA2,1.763941014,NA
ITGA3,1.778417709,NA
ITGA6,1.788347231,NA
ITGAE,-0.506261103,NA
ITGB1,-1.333837797,NA
ITGB1BP1,0.944869397,NA
ITGB2,1.8311458,NA
ITGB4,1.81353064,NA
ITGB5,-1.214561559,NA
ITPA,-0.662715638,NA
ITPKB,1.588118479,NA
ITPR3,1.015715864,NA
IVD,1.116597229,NA
IVL,2.037608791,NA
JADE1,-1.531965083,NA
JADE2,1.24757078,NA
JADE3,-0.889643298,NA
JAG2,1.023148527,NA
JAM3,-1.855157503,NA
JMJD6,-0.433047311,NA
JOSD1,0.885068226,NA
JPH2,1.332482166,NA
JRK,0.746241548,NA
JRKL,0.733295253,NA
JUN,1.545211098,NA
KANK3,-1.111380662,NA
KATNBL1,-0.663838108,NA
KAZALD1,-1.579899211,NA
KBTBD11,-3.143790192,NA
KBTBD2,0.583597234,NA
KCNAB1,2.208066255,NA
KCNAB2,-1.856673279,NA
KCNE4,-3.532871622,NA
KCNF1,-1.017543001,NA
KCNG1,-2.09796408,NA
KCNJ16,-2.414743802,NA
KCNJ2,-2.354899113,NA
KCNJ8,-2.570684873,NA
KCNK12,2.162556711,NA
KCNK5,1.196480947,NA
KCNMA1,1.590853415,NA
KCNMB3,1.234065037,NA
KCNMB4,0.961028615,NA
KCNN4,2.708778292,NA
KCNS3,1.62903294,NA
KCTD12,1.773092086,NA
KCTD9,-1.128061029,NA
KDELC1,-1.243613607,NA
KDELR2,1.175449999,NA
KDELR3,1.222402428,NA
KDM2A,0.948635259,NA
KDM4B,0.813201905,NA
KDM5B,0.755684344,NA
KDM5D,-2.819802181,NA
KHK,-1.366676847,NA
KIAA0040,1.594988179,NA
KIAA0100,-0.537536781,NA
KIAA0319,-1.577589414,NA
KIAA0319L,1.958615853,NA
KIAA0391,-0.606752336,NA
KIAA0930,-0.841107689,NA
KIAA1109,1.165676514,NA
KIF13A,0.639610624,NA
KIF16B,-0.652426498,NA
KIF1C,0.776859648,NA
KIF2C,0.922771762,NA
KIF3C,-1.10999276,NA
KIFC3,-0.80785979,NA
KIZ,-0.934514447,NA
KLF11,1.474862256,NA
KLF13,-0.590744455,NA
KLF2,-1.502356626,NA
KLF5,0.823534442,NA
KLHDC10,0.533732557,NA
KLHDC3,0.874329038,NA
KLHDC4,-0.685995273,NA
KLHL2,0.719981847,NA
KLHL22,0.875268139,NA
KLHL4,-1.521948765,NA
KLHL7,0.888314107,NA
KLK10,2.99633225,NA
KLK14,-0.708409652,NA
KLK5,3.70489928,NA
KLK6,4.613934307,NA
KLK7,2.476002903,NA
KLK8,2.288080674,NA
KLRG1,-0.800488908,NA
KMT2A,0.869684812,NA
KMT2D,-0.69965656,NA
KPNA6,0.684906959,NA
KRBOX4,-0.714357792,NA
KREMEN2,1.229941347,NA
KRT13,1.705790448,NA
KRT15,4.851144272,NA
KRT16,3.756388164,NA
KRT19,4.19788977,NA
KRT5,2.224501818,NA
KRT6A,2.478341634,NA
KRT81,-5.08474766,NA
KRT83,-1.348808788,NA
KYAT1,-1.031209915,NA
KYNU,-5.392970118,NA
L1CAM,-1.611442058,NA
L3MBTL1,1.330321773,NA
LACTB2,-1.394917048,NA
LAD1,2.941610697,NA
LAMA3,2.733737751,NA
LAMA4,2.714811384,NA
LAMB3,3.228636143,NA
LAMC1,-0.723341004,NA
LAMC2,2.994736098,NA
LAMP1,0.91193937,NA
LAMP2,0.525658236,NA
LAMP3,4.011286483,NA
LAMP5,-0.982159902,NA
LAMTOR2,-0.77824295,NA
LANCL1,-1.15484994,NA
LANCL2,1.915867691,NA
LAPTM5,1.74196268,NA
LARP4,-0.42499582,NA
LARP4B,-0.452366494,NA
LARS,-0.443546099,NA
LAS1L,-0.948022922,NA
LAT,-1.111397821,NA
LAT2,0.880812667,NA
LBH,-2.797085742,NA
LCN2,4.58226938,NA
LDAH,-1.067002485,NA
LDHAL6B,-1.019649938,NA
LDHB,-0.624739156,NA
LDLR,1.465189919,NA
LDLRAP1,1.197222948,NA
LEF1,2.805579902,NA
LEMD3,0.510098202,NA
LEPROTL1,-1.061368552,NA
LGALS3BP,1.67956204,NA
LGSN,-5.141614812,NA
LHX1,1.652649855,NA
LIF,-1.792324839,NA
LIG3,-0.906752392,NA
LIMA1,1.62581207,NA
LIMCH1,-0.993411691,NA
LIMD1,-0.810638184,NA
LIMK1,0.762021712,NA
LIMK2,1.442505258,NA
LIN7A,-3.374983544,NA
LINS1,-0.854105028,NA
LIPG,2.540457255,NA
LMCD1,-1.641420606,NA
LMF1,-1.285588392,NA
LMNA,0.632659413,NA
LMO2,1.80549336,NA
LMO4,0.74430325,NA
LONP1,-0.666172544,NA
LONRF1,-1.061656337,NA
LOX,2.332835211,NA
LOXL1,4.526224098,NA
LPAR2,2.674585785,NA
LPAR6,-1.660569162,NA
LPCAT1,1.741157258,NA
LPGAT1,-1.37828767,NA
LPL,-0.648259956,NA
LRBA,0.450763242,NA
LRIG1,-1.993200529,NA
LRIG2,0.362527512,NA
LRMP,-1.165057608,NA
LRP3,-0.96126373,NA
LRP4,-1.482644877,NA
LRP5,0.723320502,NA
LRP8,-1.103653756,NA
LRPAP1,0.657363965,NA
LRRC1,1.041939363,NA
LRRC23,-0.854583497,NA
LRRC42,0.775415249,NA
LRRC49,-1.656986503,NA
LRRC6,1.222870142,NA
LRRC61,1.978729376,NA
LRRC8B,1.007370687,NA
LSAMP,-0.636725099,NA
LSG1,-0.71607435,NA
LSM6,0.573190865,NA
LSR,3.931283758,NA
LST1,-0.765255584,NA
LTBP3,1.624811188,NA
LUC7L,-0.552302789,NA
LUM,-3.96723903,NA
LUZP1,0.410307095,NA
LXN,-7.059181794,NA
LY6D,4.819398147,NA
LY6E,1.770444551,NA
LY75,1.451846933,NA
LYN,0.646601349,NA
LYPD3,5.423843298,NA
LYRM1,0.936683443,NA
LYRM9,-0.513566319,NA
MACF1,0.9167907,NA
MACROD1,1.4892795,NA
MAEA,0.750856417,NA
MAFB,3.977308193,NA
MAFF,1.763013598,NA
MAFG,-1.334893536,NA
MAGEA12,4.080839569,NA
MAGEA4,2.579794393,NA
MAGEA6,3.431107535,NA
MAGEB2,-1.714165444,NA
MAGI1,1.361432352,NA
MAK16,-1.187714233,NA
MAL,2.719491336,NA
MAN1A1,4.616031733,NA
MAN1A2,0.802156095,NA
MAN2A2,-1.001924074,NA
MAN2B2,0.758034042,NA
MAN2C1,-0.834310622,NA
MAP1A,-0.912383118,NA
MAP1B,-0.852849991,NA
MAP1LC3B,-0.682233842,NA
MAP2K4,-0.699810587,NA
MAP2K5,-1.022622154,NA
MAP2K6,-2.366500159,NA
MAP3K12,-1.90470558,NA
MAP3K5,1.327301994,NA
MAP3K6,1.17934032,NA
MAP3K8,-1.412007551,NA
MAP3K9,1.136294158,NA
MAP4K2,1.410894685,NA
MAP7,-1.232824896,NA
MAP7D1,0.78482383,NA
MAPK11,1.292626202,NA
MAPK13,4.250535977,NA
MAPK14,0.921617087,NA
MAPK1IP1L,-0.821016537,NA
MAPK3,0.902031496,NA
MAPK6,-0.394464932,NA
MAPK7,0.624116675,NA
MAPKAPK2,0.669645039,NA
MAPKAPK3,0.880336678,NA
MAPRE2,-2.485404754,NA
MAPT,-1.365506959,NA
6-Mar,0.814724822,NA
8-Mar,-0.629262893,NA
MARCKS,1.629110376,NA
MARCKSL1,1.06192796,NA
MARK1,1.843303117,NA
MARK4,1.6932245,NA
MAST2,0.560288277,NA
MAT2A,-1.019678069,NA
MAU2,0.589442103,NA
MB,1.77080353,NA
MBD4,0.698534932,NA
MBNL3,1.973003275,NA
MBOAT2,0.75170884,NA
MBOAT7,1.29355876,NA
MCCC1,0.979954524,NA
MCF2,-1.597956897,NA
MCTP2,1.232657041,NA
MDFI,1.647314683,NA
MDFIC,1.21103607,NA
MDK,2.014685068,NA
MDM1,-0.842695584,NA
MDM2,-1.343047691,NA
ME1,-1.89479446,NA
ME2,-0.754037211,NA
MEA1,0.690259144,NA
MED12,-0.673716232,NA
MED14,-0.672086333,NA
MED15,0.700669698,NA
MED20,0.561004093,NA
MED23,0.564228056,NA
MED28,0.549711138,NA
MED8,0.553249379,NA
MEF2D,-0.807908625,NA
MEGF9,-1.35267555,NA
MEIS1,0.731705501,NA
METTL17,-1.126515296,NA
METTL3,-1.490249838,NA
METTL4,0.416836277,NA
METTL5,-0.554769688,NA
METTL7A,3.936264838,NA
MEX3D,0.987962293,NA
MFAP5,2.383279498,NA
MFF,-1.721732026,NA
MFGE8,-1.18953073,NA
MFN1,1.052205529,NA
MFN2,1.172223962,NA
MFSD1,0.300713218,NA
MFSD5,-0.455415247,NA
MFSD9,-0.776352461,NA
MGA,0.4231432,NA
MGAT1,0.653379216,NA
MGAT2,-0.652551419,NA
MGAT4A,1.396875002,NA
MGMT,0.673106165,NA
MGP,6.826262601,NA
MGST2,-0.550845363,NA
MICALL1,3.029706975,NA
MICALL2,1.146055941,NA
MICU1,-0.480862635,NA
MID1,-1.543348363,NA
MID1IP1,-2.189970139,NA
MIER2,0.939420103,NA
MILR1,1.643548359,NA
MINK1,0.532354255,NA
MINPP1,-1.146482963,NA
MIPEP,-0.927874051,NA
MIS12,-0.829183406,NA
MIS18A,0.440773674,NA
MKKS,-1.464061739,NA
MKRN1,0.703882363,NA
MLF1,0.843190739,NA
MLH1,-0.570875931,NA
MLH3,-0.513341832,NA
MLLT11,-2.572807588,NA
MLLT3,-1.057053792,NA
MLYCD,-0.806272611,NA
MMACHC,1.058737117,NA
MME,3.23806419,NA
MMP13,1.51659062,NA
MMP15,1.743386604,NA
MMP17,-1.013349028,NA
MMP24,-2.344188398,NA
MMP7,-2.253243698,NA
MMS19,-0.542458574,NA
MN1,-1.689670933,NA
MOCS1,-1.103040484,NA
MORC4,-1.738476703,NA
MORF4L1,-0.747879972,NA
MOSPD2,-0.575102504,NA
MPC1,0.936897949,NA
MPC2,-0.727551264,NA
MPDZ,-1.043318679,NA
MPG,-0.399750386,NA
MPHOSPH8,-0.667905656,NA
MPHOSPH9,-1.301734413,NA
MPL,1.531092207,NA
MPPE1,0.809925504,NA
MPZL1,-0.684340387,NA
MPZL2,4.036424485,NA
MREG,1.319791245,NA
MRGBP,0.599252336,NA
MRM1,-0.992994346,NA
MRM3,-1.071526534,NA
MRPL12,-0.962540831,NA
MRPL17,-0.54203766,NA
MRPL23,-0.985753796,NA
MRPL24,-0.749408853,NA
MRPL33,-0.513308151,NA
MRPL44,-1.022571162,NA
MRPL46,-0.6311211,NA
MRPL49,0.530648705,NA
MRPS11,-0.768687,NA
MRPS16,-0.854594305,NA
MRPS17,1.458531692,NA
MRPS27,-0.8697579,NA
MRPS28,-0.617664659,NA
MS4A2,-0.988383992,NA
MSL3,-0.791186728,NA
MSMB,1.049416734,NA
MSMO1,0.692317227,NA
MST1R,1.98151127,NA
MT1E,1.56666452,NA
MTCH1,0.656236862,NA
MTCL1,-1.32785494,NA
MTF2,0.827084453,NA
MTG1,-0.702676686,NA
MTHFD2L,-0.665334883,NA
MTM1,0.684611157,NA
MTMR1,0.750736154,NA
MTMR10,-1.085597119,NA
MTMR3,0.881578752,NA
MTMR6,-0.698371133,NA
MTMR9,-1.270379332,NA
MTRF1,-1.002041066,NA
MTSS1,2.587174675,NA
MTUS1,-2.053879976,NA
MUC1,2.793040135,NA
MUC13,-1.410126805,NA
MUC16,2.954091846,NA
MUC4,1.641553207,NA
MUC5AC,-2.493635732,NA
MUC5B,-1.831660454,NA
MVB12B,-0.866439038,NA
MX1,3.413638862,NA
MYBL2,1.278799756,NA
MYCL,0.812208293,NA
MYH10,-2.065596156,NA
MYH14,1.397500508,NA
MYH9,1.329441121,NA
MYL6,1.124458677,NA
MYL9,3.830832772,NA
MYLIP,0.974804081,NA
MYNN,0.54119862,NA
MYO15B,-0.883925929,NA
MYO1D,3.301954899,NA
MYO1E,-1.239197707,NA
MYO6,1.850501649,NA
MYO9B,1.233105168,NA
MYOM2,-3.030324235,NA
MYRF,-2.254570643,NA
N4BP1,2.146232043,NA
N4BP2L1,-0.708917483,NA
