ENSID,Log2FC,AveExpr,t,P.Value,adj.P.Val,B,Gene
ENSG00000117632,2.610316446,2.610316446,5.867485178,0.000674432,0.033749705,0.113937453,STMN1
ENSG00000118363,2.399462889,2.399462889,4.630668941,0.002544404,0.048868139,-1.233507516,SPCS2
ENSG00000118407,-3.392557751,-3.392557751,-6.559618983,0.00034851,0.029935136,0.770024467,FILIP1
ENSG00000118946,-6.085867176,-6.085867176,-8.440104415,0.00017408,0.02454771,1.425916904,PCDH17
ENSG00000118971,-4.179048256,-4.179048256,-7.278360958,0.000185266,0.02454771,1.385701328,CCND2
ENSG00000119048,2.59914442,2.59914442,5.037791911,0.001606536,0.042706426,-0.763691249,UBE2B
ENSG00000119326,2.519340884,2.519340884,4.885588222,0.001902643,0.04541416,-0.936228716,CTNNAL1
ENSG00000119333,2.010570783,2.010570783,4.590269466,0.002666634,0.049511159,-1.281581901,WDR34
ENSG00000119608,-2.692231869,-2.692231869,-6.204950319,0.000485514,0.031193978,0.442008625,PROX2
ENSG00000119725,-3.230913191,-3.230913191,-6.105930366,0.000533935,0.031844892,0.347395394,ZNF410
ENSG00000120156,-3.516963526,-3.516963526,-5.828916786,0.000700847,0.033749705,0.075415486,TEK
ENSG00000120329,-3.756133208,-3.756133208,-5.139551454,0.002315409,0.047531109,-0.942773133,SLC25A2
ENSG00000120437,2.266267622,2.266267622,5.239143004,0.001290696,0.040132033,-0.541053984,ACAT2
ENSG00000120457,-4.339592652,-4.339592652,-5.999702503,0.001064194,0.037375023,-0.19321944,KCNJ5
ENSG00000120533,2.516940516,2.516940516,5.449521611,0.001032776,0.037187928,-0.315146866,ENY2
ENSG00000120697,2.472438022,2.472438022,4.843069417,0.00199587,0.045969759,-0.985087461,ALG5
ENSG00000121207,3.697118216,3.697118216,5.739976302,0.0007663,0.035283891,-0.014238676,LRAT
ENSG00000121211,2.469836975,2.469836975,5.38972074,0.001099691,0.038087773,-0.378672483,MND1
ENSG00000121350,2.502313723,2.502313723,5.066059778,0.001557397,0.042477779,-0.732051138,PYROXD1
ENSG00000121380,-3.899875319,-3.899875319,-8.981323909,4.97E-05,0.019406976,2.618427585,BCL2L14
ENSG00000121413,-2.747764014,-2.747764014,-4.961837154,0.001747342,0.043996524,-0.849333131,ZSCAN18
ENSG00000121807,-5.608823312,-5.608823312,-6.420323603,0.001534449,0.04239733,-0.59555976,CCR2
ENSG00000122122,-5.798048232,-5.798048232,-6.636926115,0.001325245,0.040443498,-0.485509974,SASH3
ENSG00000122565,2.691989711,2.691989711,6.291786292,0.000447087,0.030923789,0.523875242,CBX3
ENSG00000122643,3.337209959,3.337209959,7.362782313,0.000172577,0.02454771,1.453966186,NT5C3A
ENSG00000122861,-6.547725391,-6.547725391,-6.434451555,0.000391155,0.030215461,0.656171375,PLAU
ENSG00000123104,-2.509035018,-2.509035018,-4.541530765,0.002822829,0.049819162,-1.339931281,ITPR2
ENSG00000123329,-3.067598382,-3.067598382,-5.26530256,0.002055217,0.046486577,-0.826235575,ARHGAP9
ENSG00000123496,3.03348057,3.03348057,5.191129283,0.002204391,0.047407147,-0.894674152,IL13RA2
ENSG00000123500,-6.392546906,-6.392546906,-6.603396928,0.000647464,0.033627876,0.271018698,COL10A1
ENSG00000123908,-2.53525043,-2.53525043,-4.744866699,0.002231206,0.047407147,-1.099040904,AGO2
ENSG00000124251,-2.488386901,-2.488386901,-4.691904604,0.0023708,0.047978436,-1.16114154,TP53TG5
ENSG00000124491,-6.213710341,-6.213710341,-12.93167209,4.65E-06,0.009039112,4.601075147,F13A1
ENSG00000124575,-7.317262491,-7.317262491,-8.675323372,0.000149805,0.023246427,1.550184649,HIST1H1D
ENSG00000124802,4.058315589,4.058315589,7.146907001,0.000426515,0.030694428,0.650274868,EEF1E1
ENSG00000124882,2.852570113,2.852570113,4.719922385,0.002295783,0.047407147,-1.128233007,EREG
